id,title,imageUrl,description,category,sizeCategory,dimensions,inspirationId1,inspirationUrl1,inspirationTitle1,inspirationId2,inspirationUrl2,inspirationTitle2,inspirationId3,inspirationUrl3,inspirationTitle3,inspirationId4,inspirationUrl4,inspirationTitle4,inspirationId5,inspirationUrl5,inspirationTitle5,inspirationId6,inspirationUrl6,inspirationTitle6
1,Perro,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/1%20Perro%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/1%20Perro%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/1%20Perro%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/1%20Perro%20D.webp,,Animales,mini,14x13x11 cm,1-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/1%20Perro%201.webp,Perro 1,1-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/1%20Perro%202.webp,Perro 2,1-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/1%20Perro%203.webp,Perro 3,1-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/1%20Perro%204.webp,Perro 4,1-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/1%20Perro%205.webp,Perro 5,1-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/1%20Perro%206.webp,Perro 6
2,Conejo,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/2%20Conejo%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/2%20Conejo%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/2%20Conejo%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/2%20Conejo%20D.webp,,Animales,mini,17x11x13 cm,2-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/2%20Conejo%201.webp,Conejo 1,2-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/2%20Conejo%202.webp,Conejo 2,2-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/2%20Conejo%203.webp,Conejo 3,2-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/2%20Conejo%204.webp,Conejo 4,2-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/2%20Conejo%205.webp,Conejo 5,2-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/2%20Conejo%206.webp,Conejo 6
3,Gato 1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/3%20Gato%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/3%20Gato%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/3%20Gato%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/3%20Gato%20D.webp,,Animales,mini,14x18x11 cm,3-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/3%20Gato%201.webp,Gato 1,3-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/3%20Gato%202.webp,Gato 2,3-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/3%20Gato%203.webp,Gato 3,3-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/3%20Gato%204.webp,Gato 4,3-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/3%20Gato%205.webp,Gato 5,3-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/3%20Gato%206.webp,Gato 6
4,Campanita,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/4%20Campanita%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/4%20Campanita%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/4%20Campanita%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/4%20Campanita%20D.webp,,Animados,mini,15x13x9 cm,4-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/4%20Campanita%201.webp,Campanita 1,4-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/4%20Campanita%202.webp,Campanita 2,4-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/4%20Campanita%203.webp,Campanita 3,4-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/4%20Campanita%204.webp,Campanita 4,4-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/4%20Campanita%205.webp,Campanita 5,4-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/4%20Campanita%206.webp,Campanita 6
5,Ariel (La Sirenita),https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/5%20Ariel%20(La%20Sirenita)%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/5%20Ariel%20(La%20Sirenita)%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/5%20Ariel%20(La%20Sirenita)%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/5%20Ariel%20(La%20Sirenita)%20D.webp,,Animados,mini,17x11x12 cm,5-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/5%20Ariel%20(La%20Sirenita)%201.webp,Ariel (La Sirenita) 1,5-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/5%20Ariel%20(La%20Sirenita)%202.webp,Ariel (La Sirenita) 2,5-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/5%20Ariel%20(La%20Sirenita)%203.webp,Ariel (La Sirenita) 3,5-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/5%20Ariel%20(La%20Sirenita)%204.webp,Ariel (La Sirenita) 4,5-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/5%20Ariel%20(La%20Sirenita)%205.webp,Ariel (La Sirenita) 5,5-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/5%20Ariel%20(La%20Sirenita)%206.webp,Ariel (La Sirenita) 6
6,Boo (Monsters Inc),https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/6%20Boo%20(Monsters%20Inc)%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/6%20Boo%20(Monsters%20Inc)%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/6%20Boo%20(Monsters%20Inc)%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/6%20Boo%20(Monsters%20Inc)%20D.webp,,Animados,mini,15x11x6 cm,6-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/6%20Boo%20(Monsters%20Inc)%201.webp,Boo (Monsters Inc.) 1,6-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/6%20Boo%20(Monsters%20Inc)%202.webp,Boo (Monsters Inc.) 2,6-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/6%20Boo%20(Monsters%20Inc)%203.webp,Boo (Monsters Inc.) 3,6-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/6%20Boo%20(Monsters%20Inc)%204.webp,Boo (Monsters Inc.) 4,6-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/6%20Boo%20(Monsters%20Inc)%205.webp,Boo (Monsters Inc.) 5,6-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/6%20Boo%20(Monsters%20Inc)%206.webp,Boo (Monsters Inc.) 6
7,Labubu,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/7%20Labubu%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/7%20Labubu%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/7%20Labubu%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/7%20Labubu%20D.webp,,Animados,mini,18x10x10 cm,7-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/7%20Labubu%201.webp,Labubu 1,7-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/7%20Labubu%202.webp,Labubu 2,7-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/7%20Labubu%203.webp,Labubu 3,7-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/7%20Labubu%204.webp,Labubu 4,7-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/7%20Labubu%205.webp,Labubu 5,7-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/7%20Labubu%206.webp,Labubu 6
8,Hello Kitty,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/8%20Hello%20Kitty%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/8%20Hello%20Kitty%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/8%20Hello%20Kitty%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/8%20Hello%20Kitty%20D.webp,,Animados,mini,14x10x8 cm,8-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/8%20Hello%20Kitty%201.webp,Hello Kitty 1,8-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/8%20Hello%20Kitty%202.webp,Hello Kitty 2,8-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/8%20Hello%20Kitty%203.webp,Hello Kitty 3,8-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/8%20Hello%20Kitty%204.webp,Hello Kitty 4,8-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/8%20Hello%20Kitty%205.webp,Hello Kitty 5,8-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/8%20Hello%20Kitty%206.webp,Hello Kitty 6
9,My Melody (Hello Kitty),https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/9%20My%20Melody%20(Hello%20Kitty)%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/9%20My%20Melody%20(Hello%20Kitty)%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/9%20My%20Melody%20(Hello%20Kitty)%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/9%20My%20Melody%20(Hello%20Kitty)%20D.webp,,Animados,mini,17x10x9 cm,9-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/9%20My%20Melody%20(Hello%20Kitty)%201.webp,My Melody (Hello Kitty) 1,9-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/9%20My%20Melody%20(Hello%20Kitty)%202.webp,My Melody (Hello Kitty) 2,9-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/9%20My%20Melody%20(Hello%20Kitty)%203.webp,My Melody (Hello Kitty) 3,9-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/9%20My%20Melody%20(Hello%20Kitty)%204.webp,My Melody (Hello Kitty) 4,9-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/9%20My%20Melody%20(Hello%20Kitty)%205.webp,My Melody (Hello Kitty) 5,9-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/9%20My%20Melody%20(Hello%20Kitty)%206.webp,My Melody (Hello Kitty) 6
10,Baby Yoda (Star Wars),https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/10%20Baby%20Yoda%20(Star%20Wars)%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/10%20Baby%20Yoda%20(Star%20Wars)%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/10%20Baby%20Yoda%20(Star%20Wars)%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/10%20Baby%20Yoda%20(Star%20Wars)%20D.webp,,Animados,mini,17x11x11 cm,10-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/10%20Baby%20Yoda%20(Star%20Wars)%201.webp,Baby Yoda (Star Wars) 1,10-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/10%20Baby%20Yoda%20(Star%20Wars)%202.webp,Baby Yoda (Star Wars) 2,10-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/10%20Baby%20Yoda%20(Star%20Wars)%203.webp,Baby Yoda (Star Wars) 3,10-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/10%20Baby%20Yoda%20(Star%20Wars)%204.webp,Baby Yoda (Star Wars) 4,10-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/10%20Baby%20Yoda%20(Star%20Wars)%205.webp,Baby Yoda (Star Wars) 5,10-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/10%20Baby%20Yoda%20(Star%20Wars)%206.webp,Baby Yoda (Star Wars) 6
